Policy_ID,Policy_Name,Policy_Type,Customer_ID,Customer_Age,Gender,Region,Occupation,Marital_Status,Annual_Premium,Policy_Start_Date,Tenure,Coverage_Amount,Payment_Frequency,Claims_Made,Total_Claim_Amount,Last_Claim_Amount,Last_Claim_Date,Customer_Satisfaction_Level,Policy_Status,Renewal,Number_of_Beneficiaries,Sales_Channel,Policy_Modifications,Policy_Duration_Days,Claim_Frequency,Average_Claim_Amount,Claim_Status,Premium_to_Claim_Ratio,Is_Loyal_Customer,Is_High_Value_Customer,Is_Family_Policy,Risk_Score,Last_Claim_Season,Life_Stage
POL1011,Jeevan Anand,Motor,CUST10011,49.0,Male,East,Retired,Married,40803.31,2008-07-17,19,3673907.74,Quarterly,2.0,43436.81,0.0,2014-07-26,5,Lapsed,No,0,Broker,0.0,3645,0.20027434842249658,21718.405,Normal,0.9393716987964816,1,1,0,4.349639410150892,Summer,Established Adult
POL1012,Jeevan Anand,Personal Accident,CUST10012,31.0,Other,West,Salaried,Widowed,11410.93,1994-07-17,21,2198892.96,Semi-Annually,4.0,278725.8,0.0,2014-07-26,8,Terminated,Yes,3,Broker,1.0,3645,0.40054869684499317,69681.45,Normal,0.040939625969321825,1,0,1,27.910813991769547,Summer,Other
POL1013,Jeevan Umang,Personal Accident,CUST10013,32.0,Other,West,Retired,Divorced,10124.0,1994-07-18,20,3984285.14,Annually,0.0,116030.99,469.1236611847616,2021-02-07,10,Active,Yes,1,Broker,2.0,1257,0.0,116030.99,Claim_Without_Count,0.08725255209836613,0,0,0,0.0,Winter,Other
POL1014,Jeevan Anand,Home,CUST10014,34.0,Male,North,Salaried,Married,26234.76,2002-08-25,12,2329577.07,Monthly,1.0,13328.06,15786.46648900267,2019-05-24,4,Active,Yes,4,Agent,1.0,1882,0.19394261424017,13328.06,Normal,1.9683854964638514,1,0,1,2.5848787991498403,Spring,Young Family
POL1015,Jeevan Umang,Personal Accident,CUST10015,32.0,Other,South,Salaried,Single,28600.96,2006-12-11,5,4098945.98,Annually,4.0,127479.01,12572.270681024896,2016-12-01,7,Active,Yes,0,Broker,2.0,2786,0.5240488155061019,31869.7525,Normal,0.22435819041895602,1,0,0,16.70130604809763,Winter,Other
POL1016,Jeevan Shanti,Motor,CUST10016,42.0,Male,North,Salaried,Divorced,28098.07,2009-09-15,22,4213118.41,Monthly,0.0,213229.84,0.0,2014-07-26,7,Lapsed,Yes,4,Online,0.0,3645,0.0,213229.84,Claim_Without_Count,0.1317736298071602,1,0,1,0.0,Summer,Other
POL1017,Jeevan Lakshya,Home,CUST10017,60.0,Other,North,Unemployed,Single,27640.49,1997-03-13,10,3869525.39,Quarterly,0.0,182390.95,42998.52001198713,2014-11-29,5,Lapsed,Yes,3,Online,0.0,3519,0.0,182390.95,Claim_Without_Count,0.1515452932286388,1,0,1,0.0,Fall,Senior
POL1018,Jeevan Lakshya,Home,CUST10018,71.0,Other,South,Salaried,Married,45042.53,2022-12-23,26,2700065.3,Quarterly,0.0,178687.63,10136.854309032597,2018-01-09,8,Active,No,4,Agent,2.0,2382,0.0,178687.63,Claim_Without_Count,0.2520741363014328,1,1,1,0.0,Winter,Senior
POL1019,Jeevan Tarun,Commercial,CUST10019,31.0,Female,South,Retired,Divorced,22657.94,2013-08-24,24,3227916.21,Semi-Annually,2.0,299357.71,44828.083123035525,2021-01-22,6,Terminated,No,1,Agent,2.0,1273,0.5734485467399844,149678.855,Normal,0.07568851325058572,0,0,0,85.83312187745484,Winter,Other
POL1020,Jeevan Arogya,Commercial,CUST10020,45.0,Male,South,Salaried,Single,6509.87,2007-09-27,11,159457.04,Monthly,2.0,128359.43,26296.64078472225,2020-02-29,9,Active,No,0,Agent,1.0,1601,0.45596502186133664,64179.715,Normal,0.05071594661958222,0,0,0,29.263705153029353,Winter,Other
POL1021,Jeevan Labh,Life,CUST10021,75.0,Male,North,Retired,Married,5449.38,2001-11-17,10,1447259.76,Semi-Annually,0.0,59483.5,41134.31523798528,2020-12-22,7,Active,No,4,Broker,1.0,1304,0.0,59483.5,Claim_Without_Count,0.09161162339136063,0,0,1,0.0,Winter,Senior
POL1022,Jeevan Umang,Personal Accident,CUST10022,49.0,Male,East,Salaried,Widowed,27209.545,1995-06-17,9,2034921.77,Semi-Annually,2.0,121049.99,0.0,2014-07-26,4,Terminated,Yes,4,Online,0.0,3645,0.20027434842249658,60524.995,Normal,0.22477940725149995,1,0,1,12.121603936899865,Summer,Other
POL1023,Jeevan Anand,Life,CUST10023,62.0,Male,East,Salaried,Widowed,45209.42,2000-06-16,27,316813.43,Annually,0.0,224584.21,17415.92911497786,2018-06-02,4,Terminated,No,0,Agent,2.0,2238,0.0,224584.21,Claim_Without_Count,0.20130275409834023,1,1,0,0.0,Summer,Senior
POL1024,Jeevan Arogya,Motor,CUST10024,44.0,Female,North,Self-employed,Widowed,37025.55,2004-11-09,10,4136301.83,Quarterly,1.0,167653.24,0.0,2014-07-26,9,Lapsed,Yes,4,Broker,1.0,3645,0.10013717421124829,167653.24,Normal,0.2208460152634092,1,0,1,16.788321700960218,Summer,Other
POL1025,Jeevan Rakshak,Health,CUST10025,58.0,Female,South,Retired,Widowed,30661.22,2014-09-27,5,1409582.17,Quarterly,4.0,147140.32,15594.15704729893,2022-06-18,3,Lapsed,No,1,Agent,1.0,761,1.9185282522996059,36785.08,Normal,0.2083808163527169,0,0,0,70.57321524310119,Summer,Other
POL1026,Jeevan Lakshya,Commercial,CUST10026,69.0,Female,North,Self-employed,Single,36582.01,2019-03-23,28,927248.71,Monthly,3.0,122170.68,5808.497560625569,2021-11-09,10,Active,Yes,1,Agent,1.0,982,1.115071283095723,40723.56,Normal,0.29943362842868687,0,0,0,45.40967230142566,Fall,Senior
POL1027,Jeevan Nidhi,Home,CUST10027,69.0,Female,East,Unemployed,Widowed,12531.0,2004-09-01,28,4615815.52,Semi-Annually,1.0,291868.61,0.0,2014-07-26,1,Active,No,4,Online,1.0,3645,0.10013717421124829,291868.61,Normal,0.042933702257327365,1,0,1,29.226897846364885,Summer,Senior
POL1028,Jeevan Umang,Life,CUST10028,79.0,Male,South,Self-employed,Single,18464.52,2024-06-16,10,83360.39,Semi-Annually,0.0,199031.75,31569.60203916519,2018-04-14,5,Lapsed,No,2,Agent,1.0,2287,0.0,199031.75,Claim_Without_Count,0.09277173114339798,1,0,1,0.0,Spring,Senior
POL1029,Jeevan Shanti,Health,CUST10029,53.0,Other,North,Unemployed,Single,40586.27,1994-12-18,10,3572008.65,Quarterly,2.0,221024.49,7844.7074766583855,2020-07-04,3,Active,No,3,Agent,2.0,1475,0.49491525423728816,110512.245,Normal,0.18362793190926488,0,1,1,54.69419583050848,Summer,Other
POL1030,Jeevan Arogya,Motor,CUST10030,33.0,Male,East,Unemployed,Divorced,5482.43,1997-09-04,4,255117.71,Semi-Annually,2.0,155671.85,32562.322644725416,2018-10-04,8,Terminated,Yes,3,Online,0.0,2114,0.34531693472090824,77835.925,Normal,0.035217863730661644,1,0,1,26.878063032166512,Fall,Other
POL1031,Jeevan Umang,Commercial,CUST10031,67.0,Male,South,Self-employed,Single,18709.12,2013-08-23,14,1769526.14,Annually,3.0,163128.46,19030.792766285547,2019-10-19,1,Terminated,Yes,3,Online,0.0,1734,0.6314878892733564,54376.15333333333,Normal,0.11468949072405882,0,0,1,34.337882295271044,Fall,Senior
POL1032,Jeevan Umang,Travel,CUST10032,52.0,Female,South,Unemployed,Divorced,27209.545,2005-06-28,27,1430663.94,Quarterly,0.0,88026.33,7299.687143532152,2021-01-26,8,Lapsed,No,0,Agent,2.0,1269,0.0,88026.33,Claim_Without_Count,0.3091068888138356,0,0,0,0.0,Winter,Other
POL1033,Jeevan Shanti,Commercial,CUST10033,30.0,Female,Central,Retired,Single,32491.66,2022-04-05,20,2118863.5,Semi-Annually,3.0,66140.23,47952.523003104376,2014-10-01,3,Active,No,4,Online,0.0,3578,0.306036892118502,22046.743333333332,Normal,0.49125411266335184,1,0,1,6.747116811067636,Fall,Other
POL1034,Jeevan Nidhi,Commercial,CUST10034,38.0,Male,South,Retired,Single,37916.11,1997-03-15,8,1650910.54,Monthly,2.0,220616.41,36848.9157811133,2014-10-10,3,Active,No,1,Online,2.0,3569,0.20453908657887365,110308.205,Normal,0.1718644138937806,1,0,0,22.56233949285514,Fall,Other
POL1035,Jeevan Rakshak,Life,CUST10035,78.0,Male,East,Unemployed,Divorced,22805.99,2020-04-24,15,3647506.47,Annually,1.0,17592.38,5642.499080275221,2022-02-25,8,Lapsed,No,2,Broker,1.0,874,0.41762013729977115,17592.38,Normal,1.2963561496511558,0,0,1,7.3469321510297485,Winter,Senior
POL1036,Jeevan Labh,Agricultural,CUST10036,64.0,Other,East,Salaried,Married,9650.72,2004-12-09,7,3196458.14,Annually,1.0,291715.32,0.0,2014-07-26,4,Terminated,Yes,1,Broker,2.0,3645,0.10013717421124829,291715.32,Normal,0.033082664290651584,1,0,0,29.211547818930043,Summer,Senior
POL1037,Jeevan Shanti,Home,CUST10037,37.0,Female,West,Salaried,Widowed,35703.08,2012-12-21,17,2546913.59,Annually,1.0,262819.34,19449.31514994976,2018-12-04,4,Terminated,No,2,Broker,0.0,2053,0.17778860204578667,262819.34,Normal,0.13584647157244972,1,0,1,46.72628304919631,Winter,Other
POL1038,Jeevan Anand,Agricultural,CUST10038,66.0,Other,East,Self-employed,Widowed,24092.5,2016-06-20,11,1815407.35,Quarterly,4.0,239447.67,6835.330355645391,2024-04-10,8,Terminated,Yes,0,Online,1.0,99,14.74747474747475,59861.9175,Normal,0.10061697405533325,0,0,0,882.8121166666668,Spring,Senior
POL1039,Jeevan Amar,Life,CUST10039,25.0,Male,East,Salaried,Divorced,11472.81,2021-10-08,20,412352.68,Monthly,1.0,199624.01,24135.22903849779,2020-07-01,10,Active,Yes,1,Online,0.0,1478,0.24695534506089312,199624.01,Normal,0.057472094664364266,0,0,0,49.298216271989176,Summer,Other
POL1040,Jeevan Arogya,Home,CUST10040,69.0,Female,East,Retired,Single,45345.51,2013-03-27,29,3206045.21,Semi-Annually,2.0,195456.08,46849.95839961455,2022-02-10,2,Lapsed,No,4,Agent,0.0,889,0.8211473565804275,97728.04,Normal,0.23199846226323584,0,1,1,80.24912170978627,Winter,Senior
POL1041,Jeevan Lakshya,Commercial,CUST10041,37.0,Male,South,Unemployed,Married,16326.86,2021-09-08,11,1349821.88,Semi-Annually,3.0,223281.35,16488.703707895693,2021-02-02,3,Lapsed,No,4,Online,0.0,1262,0.8676703645007924,74427.11666666667,Normal,0.07312236333218157,0,0,1,64.57820344690967,Winter,Young Family
POL1042,Jeevan Rakshak,Commercial,CUST10042,49.0,Female,West,Unemployed,Single,20682.03,2009-02-07,26,1257573.4,Annually,2.0,274546.74,38329.32930903015,2016-01-18,8,Lapsed,Yes,4,Agent,1.0,3104,0.23518041237113402,137273.37,Normal,0.07533154463972146,1,0,1,32.28400776417526,Winter,Other
POL1043,Jeevan Shanti,Life,CUST10043,72.0,Other,West,Self-employed,Divorced,14410.2,2012-11-17,7,3766834.87,Annually,0.0,155440.07,5947.564056847448,2022-09-01,3,Lapsed,Yes,1,Online,2.0,686,0.0,155440.07,Claim_Without_Count,0.09270582546701117,0,0,0,0.0,Fall,Senior
POL1044,Jeevan Rakshak,Motor,CUST10044,23.0,Other,North,Retired,Married,22638.63,2002-09-26,13,1544064.56,Semi-Annually,2.0,50588.64,17160.232190352704,2022-12-18,4,Active,No,2,Agent,0.0,578,1.2629757785467128,25294.32,Normal,0.4475042222918031,0,0,1,31.946113494809687,Winter,Other
POL1045,Jeevan Shanti,Motor,CUST10045,31.0,Female,North,Salaried,Divorced,32505.73,2019-01-28,7,3719352.3,Annually,2.0,25905.21,14494.21161863254,2024-07-01,10,Terminated,Yes,2,Broker,2.0,17,42.94117647058823,12952.605,Normal,1.254795077901318,0,0,1,556.2000970588234,Summer,Other
POL1046,Jeevan Umang,Agricultural,CUST10046,51.0,Other,West,Unemployed,Widowed,27209.545,2008-04-11,27,3762611.02,Monthly,4.0,158254.98,9348.683526751738,2022-09-29,7,Active,Yes,2,Agent,0.0,658,2.2188449848024314,39563.745,Normal,0.1719348421136573,0,0,1,87.78581717325227,Fall,Other
POL1047,Jeevan Shanti,Personal Accident,CUST10047,53.0,Other,West,Retired,Divorced,21154.57,2014-08-15,15,819699.98,Quarterly,2.0,195372.44,19030.792766285547,2014-07-26,10,Terminated,No,3,Online,0.0,3645,0.20027434842249658,97686.22,Normal,0.10827816860965651,1,0,1,19.564044060356654,Summer,Other
POL1048,Jeevan Anand,Motor,CUST10048,49.0,Male,South,Self-employed,Single,5605.05,2005-01-09,14,1499593.76,Monthly,3.0,262304.32,14273.470138418936,2014-10-18,8,Lapsed,No,3,Online,1.0,3561,0.3074978938500421,87434.77333333333,Normal,0.02136850052641146,1,0,1,26.886008649255825,Fall,Other
POL1049,Jeevan Arogya,Motor,CUST10049,51.0,Female,East,Salaried,Single,12176.38,2015-12-14,19,2876237.43,Quarterly,4.0,271513.75,39451.429134078906,2019-06-09,9,Active,Yes,3,Online,2.0,1866,0.782422293676313,67878.4375,Normal,0.044846273899572305,1,0,1,53.10960275991425,Summer,Other
POL1050,Jeevan Nidhi,Motor,CUST10050,33.0,Male,West,Salaried,Widowed,45810.77,1995-11-14,19,4913615.75,Quarterly,2.0,212509.08,27765.75233479083,2019-10-15,2,Lapsed,No,1,Broker,0.0,1738,0.42002301495972383,106254.54,Normal,0.21557088290062712,0,1,0,44.62935224395857,Fall,Other
POL1051,Jeevan Arogya,Home,CUST10051,61.0,Other,Central,Self-employed,Divorced,33590.6,2010-01-20,3,1756667.47,Annually,2.0,272408.73,37558.81313038125,2019-11-05,2,Lapsed,Yes,2,Agent,1.0,1717,0.42516016307513105,136204.365,Normal,0.12330955766358884,0,0,1,57.90867003494467,Fall,Senior
POL1052,Jeevan Nidhi,Agricultural,CUST10052,52.0,Male,South,Unemployed,Single,27686.01,1997-06-22,16,4307192.87,Annually,3.0,274096.08,22526.462448378337,2015-10-11,10,Active,No,4,Online,0.0,3203,0.3418669996877927,91365.36,Normal,0.10100841281641093,1,0,1,31.23480149859507,Fall,Other
POL1053,Jeevan Lakshya,Home,CUST10053,49.0,Other,North,Unemployed,Divorced,28166.96,2012-01-16,26,4327483.18,Quarterly,2.0,88460.06,16986.204455801966,2017-04-09,10,Lapsed,Yes,0,Broker,2.0,2657,0.2747459540835529,44230.03,Normal,0.3184144347177698,1,0,0,12.152021791494168,Spring,Other
POL1054,Jeevan Tarun,Personal Accident,CUST10054,60.0,Other,South,Unemployed,Divorced,27209.545,2024-02-13,25,1611671.07,Quarterly,4.0,112901.29,40420.501156325845,2015-05-23,1,Lapsed,No,0,Broker,1.0,3344,0.4366028708133971,28225.3225,Normal,0.2410029593107395,1,0,0,12.32325683313397,Spring,Senior
POL1055,Jeevan Tarun,Travel,CUST10055,75.0,Male,West,Retired,Married,14477.08,2004-05-10,18,4819438.65,Semi-Annually,2.0,249576.45,34560.196848857144,2018-06-30,2,Active,Yes,0,Broker,0.0,2210,0.33031674208144796,124788.225,Normal,0.058006594772864184,1,0,0,41.2196399321267,Summer,Senior
POL1056,Jeevan Lakshya,Commercial,CUST10056,71.0,Male,Central,Salaried,Married,6530.89,2003-06-15,13,331640.47,Annually,3.0,296283.44,24463.974425809432,2019-01-16,8,Terminated,Yes,1,Online,0.0,2010,0.5447761194029851,98761.14666666667,Normal,0.022042710183194848,1,0,0,53.80271422885572,Winter,Senior
POL1057,Jeevan Shanti,Motor,CUST10057,30.0,Female,West,Retired,Divorced,23458.22,2019-12-02,9,1340856.65,Quarterly,1.0,39477.4,19030.792766285547,2023-06-27,1,Active,Yes,3,Broker,2.0,387,0.9431524547803618,39477.4,Normal,0.5942189708542103,0,0,1,37.23320671834626,Summer,Other
POL1058,Jeevan Rakshak,Health,CUST10058,44.0,Female,North,Unemployed,Married,27209.545,2009-03-20,13,2631134.36,Quarterly,3.0,253865.21,0.0,2014-07-26,4,Lapsed,Yes,3,Broker,1.0,3645,0.3004115226337449,84621.73666666666,Normal,0.10718107061617461,1,0,1,25.421344759945132,Summer,Established Adult
POL1059,Jeevan Lakshya,Home,CUST10059,58.0,Male,South,Unemployed,Divorced,27980.41,2024-02-21,9,495879.42,Quarterly,0.0,75764.16,0.0,2014-07-26,10,Active,Yes,3,Broker,1.0,3645,0.0,75764.16,Claim_Without_Count,0.3693093145888504,1,0,1,0.0,Summer,Other
POL1060,Jeevan Rakshak,Home,CUST10060,49.0,Other,North,Retired,Married,44722.88,2023-05-22,9,4032689.75,Semi-Annually,0.0,179245.31,4818.811222499958,2014-09-29,2,Active,No,0,Broker,2.0,3580,0.0,179245.31,Claim_Without_Count,0.24950655612690786,1,1,0,0.0,Fall,Established Adult
POL1061,Jeevan Nidhi,Travel,CUST10061,50.0,Other,West,Self-employed,Married,10669.66,2023-02-02,7,960618.45,Quarterly,2.0,147094.94,0.0,2014-07-26,8,Terminated,Yes,3,Online,1.0,3645,0.20027434842249658,73547.47,Normal,0.07253587376968915,1,0,1,14.729671632373114,Summer,Established Adult
POL1062,Jeevan Tarun,Home,CUST10062,53.0,Female,West,Salaried,Divorced,17306.96,1994-07-16,17,4519753.72,Quarterly,0.0,201875.37,0.0,2014-07-26,2,Terminated,No,3,Online,2.0,3645,0.0,201875.37,Claim_Without_Count,0.08573091407832466,1,0,1,0.0,Summer,Other
POL1063,Jeevan Rakshak,Life,CUST10063,49.0,Male,South,Salaried,Married,33810.42,2017-04-21,27,4876477.33,Monthly,1.0,267815.96,19030.792766285547,2014-11-04,6,Lapsed,Yes,0,Online,0.0,3544,0.10299097065462753,267815.96,Normal,0.12624497808121665,1,0,0,27.582625677200905,Fall,Established Adult
POL1064,Jeevan Amar,Commercial,CUST10064,31.0,Female,West,Unemployed,Single,6055.79,2021-06-12,20,3686955.19,Annually,0.0,122834.42,35359.499434829275,2015-03-08,1,Terminated,No,1,Broker,2.0,3420,0.0,122834.42,Claim_Without_Count,0.04930043224040949,1,0,0,0.0,Spring,Other
POL1065,Jeevan Lakshya,Home,CUST10065,49.0,Female,East,Retired,Divorced,27209.545,2009-08-14,23,3162079.91,Semi-Annually,3.0,217272.51,22839.434679815706,2018-09-14,5,Active,No,0,Broker,2.0,2134,0.5131208997188379,72424.17,Normal,0.12523234071351225,1,0,0,37.16235527179007,Fall,Other
POL1066,Jeevan Arogya,Life,CUST10066,49.0,Male,South,Salaried,Single,9964.15,2011-03-16,25,2947797.23,Semi-Annually,2.0,162676.82,45502.73964010018,2018-09-28,6,Lapsed,No,3,Agent,1.0,2120,0.3443396226415094,81338.41,Normal,0.061251197312561186,1,0,1,28.008037405660374,Fall,Other
POL1067,Jeevan Labh,Personal Accident,CUST10067,62.0,Other,North,Self-employed,Married,28272.44,1994-07-21,27,3542232.62,Annually,4.0,160928.32,35799.61598905172,2021-06-25,5,Terminated,Yes,3,Agent,2.0,1119,1.3047363717605005,40232.08,Normal,0.17568343471180212,0,0,1,52.4922580875782,Summer,Senior
POL1068,Jeevan Tarun,Travel,CUST10068,37.0,Female,Central,Retired,Divorced,44668.32,2002-06-26,6,4412525.89,Quarterly,0.0,266794.57,0.0,2014-07-26,4,Terminated,Yes,1,Online,2.0,3645,0.0,266794.57,Claim_Without_Count,0.16742589626168178,1,1,0,0.0,Summer,Other
POL1069,Jeevan Lakshya,Life,CUST10069,71.0,Male,West,Unemployed,Widowed,5143.69,2014-07-24,8,3577678.84,Semi-Annually,3.0,237711.74,136.96862586393132,2017-10-15,2,Lapsed,No,3,Online,1.0,2468,0.443679092382496,79237.24666666666,Normal,0.021638350718395313,1,0,1,35.15590968395462,Fall,Senior
POL1070,Jeevan Arogya,Commercial,CUST10070,44.0,Male,Central,Retired,Single,27209.545,2018-10-30,7,3995559.17,Quarterly,1.0,113580.58,0.0,2014-07-26,5,Lapsed,Yes,0,Broker,0.0,3645,0.10013717421124829,113580.58,Normal,0.23956159582914613,1,0,0,11.373638326474623,Summer,Other
POL1071,Jeevan Rakshak,Agricultural,CUST10071,49.0,Male,North,Unemployed,Single,34868.92,2024-03-31,3,1437013.46,Semi-Annually,3.0,141994.26,0.0,2014-07-26,1,Terminated,No,3,Broker,2.0,3645,0.3004115226337449,47331.420000000006,Normal,0.2455657010360841,1,0,1,14.218903950617287,Summer,Other
POL1072,Jeevan Arogya,Health,CUST10072,49.0,Other,Central,Unemployed,Married,21581.32,2018-02-07,1,4138663.99,Quarterly,2.0,41350.34,40383.3110428381,2020-09-02,1,Lapsed,No,4,Broker,2.0,1415,0.5159010600706714,20675.17,Normal,0.5219139673337632,0,0,1,10.666342120141342,Fall,Established Adult
POL1073,Jeevan Amar,Personal Accident,CUST10073,59.0,Male,South,Retired,Divorced,45202.03,1997-01-29,12,907657.33,Semi-Annually,2.0,7501.35,27432.882127991743,2016-03-06,5,Lapsed,No,3,Online,0.0,3056,0.23887434554973824,3750.675,Normal,6.02585267985096,1,1,1,0.8959400359947646,Spring,Other
POL1074,Jeevan Arogya,Agricultural,CUST10074,49.0,Female,North,Unemployed,Widowed,29203.82,2021-12-20,24,188440.52,Quarterly,1.0,125471.4,32556.399421958627,2020-03-06,7,Active,No,1,Agent,1.0,1595,0.22884012539184956,125471.4,Normal,0.23275280263071904,0,0,0,28.712890909090913,Spring,Other
POL1075,Jeevan Arogya,Home,CUST10075,53.0,Female,South,Self-employed,Widowed,7683.14,2023-07-30,23,2535067.34,Monthly,1.0,157853.64,47900.12005605261,2024-02-11,2,Terminated,Yes,2,Agent,0.0,158,2.310126582278481,157853.64,Normal,0.04867255515932353,0,0,1,364.66188987341775,Winter,Other
POL1076,Jeevan Nidhi,Health,CUST10076,24.0,Male,South,Retired,Divorced,5311.38,1994-09-09,3,2151299.05,Semi-Annually,1.0,161989.95,47294.09903875822,2017-11-12,1,Active,No,1,Broker,2.0,2440,0.14959016393442623,161989.95,Normal,0.0327883303871629,1,0,0,24.23210317622951,Fall,Other
POL1077,Jeevan Shanti,Personal Accident,CUST10077,39.0,Other,Central,Self-employed,Divorced,24760.57,1997-09-08,4,1604112.83,Quarterly,2.0,297241.15,19030.792766285547,2019-03-24,7,Active,Yes,1,Agent,2.0,1943,0.37570766855378285,148620.575,Normal,0.08330128584147921,1,0,0,55.83788973237262,Spring,Other
POL1078,Jeevan Rakshak,Motor,CUST10078,42.0,Other,East,Salaried,Divorced,22871.0,2016-01-25,13,885783.32,Semi-Annually,3.0,99490.71,16861.703520751293,2018-05-30,3,Terminated,No,2,Agent,1.0,2241,0.48862115127175365,33163.57,Normal,0.229880759721184,1,0,1,16.20442175368139,Spring,Other
POL1079,Jeevan Shanti,Travel,CUST10079,28.0,Male,South,Retired,Married,26661.1,2010-01-16,17,2116385.06,Semi-Annually,4.0,169572.14,13901.361757976794,2017-11-20,6,Terminated,No,1,Agent,0.0,2432,0.600328947368421,42393.035,Normal,0.15722570936475766,1,0,0,25.449766077302634,Fall,Young Family
POL1080,Jeevan Lakshya,Travel,CUST10080,20.0,Other,South,Unemployed,Married,24332.32,1998-01-09,8,3638792.92,Semi-Annually,2.0,156386.21,27381.195359738354,2023-05-27,2,Active,Yes,3,Online,2.0,418,1.7464114832535884,78193.105,Normal,0.15559121229422979,0,0,1,136.55733648325358,Spring,Other
POL1081,Jeevan Labh,Home,CUST10081,22.0,Male,North,Self-employed,Married,32084.72,2014-06-12,22,4200432.26,Monthly,3.0,172239.25,25928.61370243615,2018-07-24,6,Terminated,Yes,2,Agent,1.0,2186,0.5009149130832571,57413.083333333336,Normal,0.18627995651397694,1,0,1,28.759069647758466,Summer,Other
