Policy Name,Customer Age,Occupation,Income,Education,Marital Status,Tenure (Years),Premium (INR),Coverage (INR),Family Size,Gender,Region,Policy Type
Jeevan Anand,54,Farmer,182376,Graduate,Married,3,16996,274984,1,Other,West,Commercial
Jeevan Nidhi,27,Business,162607,Diploma,Married,26,44525,194141,4,Other,West,Home
Jeevan Arogya,18,Doctor,42547,High School,Widowed,3,7049,342109,4,Male,West,Home
Jeevan Nidhi,19,Student,87291,Post Graduate,Widowed,6,8800,193050,10,Female,West,Home
Jeevan Rakshak,29,Doctor,158381,Post Graduate,Single,21,8818,102054,1,Male,Central,Life
Jeevan Shanti,60,Engineer,103106,Diploma,Married,3,46177,400070,1,Other,East,Health
Jeevan Anand,28,Teacher,178625,Post Graduate,Married,21,19015,338711,9,Male,Central,Travel
Jeevan Arogya,44,Business,183855,Diploma,Widowed,2,48628,313924,5,Female,East,Agricultural
Jeevan Labh,27,Engineer,31091,High School,Widowed,30,25135,164483,4,Male,East,Commercial
Jeevan Nidhi,58,Retired,101047,Graduate,Single,3,23513,484264,7,Male,North,Travel
Jeevan Labh,42,Business,73590,High School,Widowed,7,11405,202767,7,Male,East,Travel
Jeevan Nidhi,28,Teacher,140631,Graduate,Divorced,22,49790,329189,9,Female,South,Health
Jeevan Shanti,35,Unemployed,96131,Graduate,Married,11,15573,415219,6,Male,North,Personal Accident
Jeevan Amar,44,Doctor,65534,Diploma,Widowed,12,17020,206560,7,Male,Central,Agricultural
Jeevan Nidhi,19,Engineer,197723,Doctorate,Divorced,19,14371,220147,4,Male,North,Agricultural
Jeevan Rakshak,49,Unemployed,44237,High School,Single,26,18700,411260,7,Female,Central,Travel
Jeevan Shanti,46,Unemployed,63225,Diploma,Widowed,30,39601,126122,9,Female,East,Motor
Jeevan Nidhi,27,Unemployed,51476,High School,Divorced,22,42156,408875,4,Other,Central,Personal Accident
Jeevan Umang,46,Doctor,70304,Post Graduate,Divorced,12,13001,289462,1,Other,East,Life
Jeevan Anand,61,Business,129036,Doctorate,Widowed,19,44934,208540,9,Female,North,Agricultural
Jeevan Anand,57,Business,174561,High School,Widowed,3,17468,179170,10,Male,South,Commercial
Jeevan Anand,54,Engineer,164576,Graduate,Widowed,26,46077,272580,7,Female,Central,Personal Accident
Jeevan Shanti,60,Farmer,189106,Graduate,Widowed,3,24031,384619,3,Female,North,Life
Jeevan Amar,30,Business,165133,Post Graduate,Married,1,30581,320974,5,Female,South,Home
Jeevan Nidhi,48,Doctor,82599,Diploma,Divorced,9,31519,323446,3,Male,West,Home
Jeevan Umang,34,Farmer,79864,Diploma,Single,26,24638,125319,4,Female,South,Home
Jeevan Lakshya,61,Teacher,107563,Post Graduate,Widowed,18,32026,287555,2,Male,North,Home
Jeevan Anand,32,Doctor,81360,Post Graduate,Divorced,26,18230,291457,6,Female,Central,Commercial
Jeevan Tarun,26,Unemployed,68006,High School,Widowed,22,5096,424869,7,Female,South,Travel
Jeevan Lakshya,51,Retired,158837,Graduate,Widowed,29,34984,119152,6,Female,Central,Home
Jeevan Nidhi,40,Engineer,174988,Doctorate,Single,6,14067,494465,7,Other,Central,Life
Jeevan Umang,52,Engineer,124602,Diploma,Married,11,19947,219620,1,Female,Central,Personal Accident
Jeevan Umang,43,Teacher,72654,Doctorate,Single,13,41978,358644,1,Other,West,Health
Jeevan Nidhi,53,Doctor,179795,Graduate,Widowed,9,39077,491870,4,Other,North,Personal Accident
Jeevan Shanti,37,Retired,146972,High School,Divorced,5,45290,344822,1,Female,South,Life
Jeevan Tarun,58,Farmer,60662,Graduate,Widowed,25,22144,474112,9,Female,South,Health
Jeevan Anand,58,Farmer,83417,High School,Widowed,4,40141,223996,8,Female,West,Motor
Jeevan Rakshak,19,Business,169716,High School,Single,19,11222,373756,4,Male,West,Health
Jeevan Tarun,47,Doctor,36037,Diploma,Divorced,29,21195,132569,6,Female,North,Agricultural
Jeevan Amar,37,Student,80702,Doctorate,Divorced,20,25525,470030,3,Female,West,Personal Accident
Jeevan Lakshya,37,Farmer,83987,Post Graduate,Married,16,21770,190936,8,Male,North,Commercial
Jeevan Nidhi,48,Student,194329,Graduate,Single,3,37340,474070,7,Other,North,Commercial
Jeevan Umang,25,Unemployed,176369,Diploma,Divorced,25,44259,427416,1,Other,East,Personal Accident
Jeevan Nidhi,49,Doctor,173979,Post Graduate,Divorced,20,45409,399214,3,Male,South,Health
Jeevan Arogya,58,Engineer,129854,Graduate,Widowed,28,6564,160957,9,Other,North,Personal Accident
Jeevan Labh,23,Engineer,155880,Graduate,Divorced,3,38129,333865,4,Male,North,Health
Jeevan Rakshak,31,Engineer,89641,Post Graduate,Widowed,5,19490,307806,5,Other,West,Motor
Jeevan Lakshya,52,Teacher,50528,Diploma,Single,12,30373,281829,5,Male,West,Personal Accident
Jeevan Tarun,57,Farmer,92440,Diploma,Divorced,2,39656,364743,4,Male,South,Personal Accident
Jeevan Rakshak,29,Teacher,186321,Doctorate,Married,6,41552,378995,9,Other,West,Agricultural
Jeevan Shanti,57,Farmer,112347,Graduate,Widowed,26,28096,241844,8,Female,South,Health
Jeevan Rakshak,45,Teacher,155944,Graduate,Married,19,47912,444835,7,Male,North,Agricultural
Jeevan Arogya,33,Student,76475,Graduate,Married,29,6208,286530,7,Male,South,Personal Accident
Jeevan Labh,53,Teacher,68971,Diploma,Single,26,30892,433553,9,Female,East,Personal Accident
Jeevan Labh,23,Business,77046,Graduate,Divorced,29,11265,437257,9,Other,East,Home
Jeevan Umang,47,Doctor,107705,High School,Divorced,7,27761,367823,5,Male,East,Commercial
Jeevan Arogya,29,Doctor,63533,High School,Single,30,12161,413161,7,Other,South,Motor
Jeevan Arogya,22,Doctor,192044,High School,Widowed,6,7189,214767,4,Other,East,Travel
Jeevan Arogya,57,Doctor,165016,Graduate,Single,5,10992,172299,1,Male,South,Travel
Jeevan Labh,18,Business,90758,Post Graduate,Divorced,29,35426,474869,4,Male,Central,Personal Accident
Jeevan Tarun,56,Engineer,50771,Post Graduate,Single,12,8967,148165,8,Female,Central,Commercial
Jeevan Labh,27,Student,63856,Diploma,Widowed,3,14613,240249,5,Other,West,Personal Accident
Jeevan Umang,42,Engineer,106251,Graduate,Divorced,12,23242,331012,3,Male,South,Agricultural
Jeevan Amar,62,Farmer,33031,Diploma,Widowed,15,10372,481566,1,Male,North,Motor
Jeevan Anand,30,Student,180753,Graduate,Single,10,42373,421478,6,Female,East,Health
Jeevan Labh,55,Student,177090,Diploma,Divorced,3,48349,271683,5,Other,Central,Personal Accident
Jeevan Rakshak,43,Business,37730,Graduate,Widowed,8,32753,439524,7,Male,West,Health
Jeevan Nidhi,60,Retired,54595,Diploma,Single,27,40771,446351,4,Male,West,Commercial
Jeevan Amar,51,Retired,189803,Graduate,Single,24,7067,373916,2,Female,East,Health
Jeevan Nidhi,65,Retired,173320,Post Graduate,Married,23,15197,488555,4,Other,Central,Health
Jeevan Lakshya,18,Engineer,137917,Graduate,Divorced,28,24827,260252,9,Other,West,Health
Jeevan Labh,38,Teacher,166173,High School,Widowed,10,39644,255591,5,Female,Central,Home
Jeevan Anand,64,Business,113381,Post Graduate,Married,26,23829,409027,2,Other,East,Commercial
Jeevan Anand,27,Engineer,147378,Post Graduate,Single,5,24085,198757,5,Male,West,Health
Jeevan Nidhi,42,Student,37306,Diploma,Married,19,37485,123402,6,Male,West,Life
Jeevan Anand,49,Teacher,96791,Diploma,Single,10,26640,469792,10,Other,South,Health
Jeevan Amar,60,Retired,176004,Doctorate,Single,16,36772,417899,6,Other,East,Motor
Jeevan Umang,40,Doctor,39044,Doctorate,Divorced,9,13709,108837,9,Male,East,Travel
Jeevan Umang,57,Farmer,147747,High School,Married,5,41667,439470,10,Other,South,Home
Jeevan Tarun,30,Farmer,39613,Diploma,Single,6,7449,198940,6,Male,South,Personal Accident
Jeevan Tarun,59,Business,36314,High School,Single,23,41256,175115,5,Other,East,Health
Jeevan Labh,32,Teacher,34170,Doctorate,Divorced,13,40192,302384,5,Other,West,Home
Jeevan Shanti,53,Farmer,30292,Post Graduate,Divorced,9,15996,246584,2,Other,East,Home
Jeevan Umang,39,Retired,103243,High School,Widowed,7,45520,185609,3,Other,Central,Agricultural
Jeevan Amar,54,Business,57489,Doctorate,Single,5,48114,353523,6,Male,North,Travel
Jeevan Arogya,27,Teacher,105925,Doctorate,Single,15,6268,238473,3,Female,East,Health
Jeevan Arogya,38,Doctor,92412,High School,Divorced,27,40715,206821,5,Male,East,Life
Jeevan Labh,48,Unemployed,85083,High School,Divorced,5,22765,441092,1,Male,Central,Personal Accident
Jeevan Labh,63,Farmer,180858,Diploma,Divorced,3,33945,219780,3,Other,Central,Motor
Jeevan Labh,46,Farmer,47731,High School,Divorced,4,27495,468233,9,Female,East,Home
Jeevan Amar,32,Farmer,159338,Post Graduate,Widowed,19,9604,189997,3,Male,East,Home
Jeevan Umang,33,Unemployed,45315,Doctorate,Divorced,10,6498,416455,5,Male,South,Agricultural
Jeevan Anand,26,Retired,56981,Graduate,Married,2,18651,403941,10,Female,West,Agricultural
Jeevan Arogya,19,Retired,87022,Graduate,Married,18,49647,259575,2,Other,North,Commercial
Jeevan Umang,22,Engineer,156547,Diploma,Divorced,13,39570,287664,4,Female,Central,Health
Jeevan Lakshya,41,Farmer,162281,Post Graduate,Divorced,11,46341,105256,4,Male,Central,Home
Jeevan Rakshak,33,Unemployed,72759,Diploma,Single,15,12546,355907,5,Male,West,Travel
Jeevan Rakshak,33,Business,74644,Diploma,Divorced,13,32288,132819,10,Other,North,Health
Jeevan Rakshak,27,Engineer,119526,Graduate,Widowed,26,30605,106778,5,Male,Central,Agricultural
Jeevan Umang,29,Engineer,110187,Diploma,Married,16,14414,280795,8,Male,East,Motor
Jeevan Labh,34,Business,69199,Post Graduate,Married,23,28222,201056,9,Other,North,Motor
Jeevan Rakshak,55,Doctor,49844,High School,Widowed,26,25225,458458,5,Male,Central,Personal Accident
Jeevan Shanti,18,Teacher,88543,Graduate,Divorced,6,23064,107903,1,Other,East,Commercial
Jeevan Labh,38,Unemployed,105905,Post Graduate,Divorced,29,34910,105473,6,Other,South,Agricultural
Jeevan Tarun,44,Business,185323,Graduate,Married,14,13257,303311,8,Male,East,Health
Jeevan Amar,48,Unemployed,126098,High School,Single,21,37687,211688,1,Other,East,Personal Accident
Jeevan Anand,33,Engineer,106663,Diploma,Divorced,14,44767,278196,1,Other,Central,Travel
Jeevan Amar,39,Student,32451,Doctorate,Single,24,39887,225588,6,Other,Central,Home
Jeevan Shanti,63,Teacher,104492,Graduate,Divorced,6,30670,446006,7,Female,West,Commercial
Jeevan Nidhi,62,Unemployed,162723,Post Graduate,Married,3,49621,296562,10,Female,South,Life
Jeevan Lakshya,22,Engineer,43274,Diploma,Widowed,13,21114,187637,8,Male,Central,Commercial
